,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
2569," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,2,changessmiIe,2017-09-27 14:58:04,False,9.080101778819318e+17,913055144622936064,939291884.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2570," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,,2017-09-27 14:56:05,False,,913054644221472768,,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2571," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,sxrxybiebs,2017-09-27 14:54:04,False,9.080903363160965e+17,913054137121636353,338288918.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2572," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,kochamjdb,2017-09-27 14:52:04,False,9.076065809962107e+17,913053633624846337,425249260.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2573," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,LauPurpose,2017-09-27 14:50:04,False,9.060864147728384e+17,913053130278961152,3417363603.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2574," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,,2017-09-27 14:48:04,False,,913052626912268288,,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2575," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,lucidomarie,2017-09-27 14:46:04,False,9.062019613216809e+17,913052124036071424,611670810.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2576," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,steleyours,2017-09-27 14:44:04,False,9.060267692573819e+17,913051618836385792,1441503985.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2577," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,CcanadianGirl_,2017-09-27 14:42:04,False,9.065124840345436e+17,913051116941791234,899952750.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2578," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,AmyaUKbelieber,2017-09-27 14:38:05,False,9.065861540651663e+17,913050115518222337,178024136.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2579," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,Jasmin_swaggy,2017-09-27 14:36:04,False,9.061447211726193e+17,913049608460398593,612567080.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2580," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,polishxmendes,2017-09-27 14:34:06,False,9.061846150896271e+17,913049112714629122,1374693162.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2581," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,bizzletoxic,2017-09-27 14:32:08,False,9.065593286934446e+17,913048617421873153,8.282997912768389e+17,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
2582," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,0,girlnexxtd00r,2017-09-27 14:30:04,False,9.066496457614008e+17,913048095939756033,2335061594.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2583," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,1,Carlotaoriolsam,2017-09-27 14:28:04,False,9.065853123941704e+17,913047593181163520,329166266.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2584," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,3,neIIou,2017-09-27 14:26:05,False,9.066726929711473e+17,913047093987733505,1627252831.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,1,False,False,,,0.8955,0.435,0.0,0.565
2585," Brilliant pic! Wed love to feature your photo, just reply with #YesHM to agree. Terms of use ",False,2,touchitright,2017-09-27 14:24:04,False,9.072552329917686e+17,913046585554145283,323613464.0,"<a href=""https://www.olapic.com"" rel=""nofollow"">Photorank App</a>",hm,0,False,False,,,0.8955,0.435,0.0,0.565
