"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Share these tips with friends to help create safer homes together. https://t.co/8im3o71PgR https://t.co/6A4jOEZoeY",FALSE,8,NA,2017-02-15 20:00:11,FALSE,NA,"831956290893025280",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",5,FALSE,FALSE,NA,NA
"@carlosgu14 We don't have any plans for Nashville, but you never know what the future holds!  <U+0001F49B>",FALSE,1,"IAmCarlosVara",2017-02-15 19:49:03,FALSE,"831948446655512576","831953490608062471","220143709","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Find comfort in affordable updates at the #IKEA Bedroom Event now through February 28! https://t.co/vJFlWT71IK https://t.co/QKTGbvJD18",FALSE,15,NA,2017-02-15 17:00:07,FALSE,NA,"831910975167094784",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",6,FALSE,FALSE,NA,NA
"Spend time with friends and enjoy a #FIKA break! https://t.co/vGd7QrMOLR https://t.co/8MHgWcyggr",FALSE,17,NA,2017-02-15 00:00:07,FALSE,NA,"831654284475260928",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",2,FALSE,FALSE,NA,NA
"Happy #ValentinesDay from all of us at #IKEA! https://t.co/rXF4SlnMzI",FALSE,60,NA,2017-02-14 17:00:45,FALSE,NA,"831548746122924032",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",8,FALSE,FALSE,NA,NA
"Little updates can make a big difference to your home. Get ideas in Your Stress-Free Organization Guide:… https://t.co/gHeD2zJDG8",FALSE,21,NA,2017-02-14 00:00:08,TRUE,NA,"831291902855049216",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",9,FALSE,FALSE,NA,NA
"@ramraajh You provide the sequins, we'll take care of the rest! https://t.co/eUcQKUkdYs",FALSE,1,"ramraajh",2017-02-13 17:57:37,FALSE,"831196639486427136","831200670749437952","322243622","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Let the soundtrack of the day decide your style. Shop the new, music-inspired  SPRIDD collection:… https://t.co/AXnVCWqtOV",FALSE,12,NA,2017-02-13 17:00:13,TRUE,NA,"831186225985835009",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",6,FALSE,FALSE,NA,NA
"@noctemcyn @TheGodPlutonium Looks great <U+0001F44D>!",FALSE,1,"noctemcyn",2017-02-13 00:07:06,FALSE,"830929704119066625","830931266883170304","16380557","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Introducing SPRIDD, an #IKEA limited collection inspired by music! https://t.co/VxjVIlFQ9C https://t.co/Rfh6t8Tr85",FALSE,26,NA,2017-02-13 00:00:08,FALSE,NA,"830929511445254144",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",9,FALSE,FALSE,NA,NA
"@KatyTurNBC @tonydokoupil If you promise to make any amends over a cinnamon roll, we'd say your odds are good. :)",FALSE,35,"KatyTurNBC",2017-02-12 21:27:20,FALSE,"830870638353055746","830891060234694656","39000115","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IKEAUSA",2,FALSE,FALSE,NA,NA
"@joshuagates Your quest has begun, Josh. Only the hungriest will survive.",FALSE,204,"joshuagates",2017-02-12 19:53:37,FALSE,"830863237830713344","830867473494847488","15884394","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",18,FALSE,FALSE,NA,NA
"@MBSudduth Shopping with us is just as magical!",FALSE,0,"MBSudduth",2017-02-12 17:25:12,FALSE,"830614511627468800","830830123922419712","388937087","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Hosting a watch party tonight? Make your appetizers the real winner. Click for ideas: https://t.co/9kb3SEDDJc https://t.co/u9KxnsLEL3",FALSE,27,NA,2017-02-12 17:00:10,FALSE,NA,"830823825952567296",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",8,FALSE,FALSE,NA,NA
"@maryclawduh We can't wait to see you! Let us know what you pick up in store. <U+0001F60A>",FALSE,0,"marymegdalena",2017-02-12 00:11:15,FALSE,"830569144403841024","830569921356627968","228914200","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Your #kitchen. Your rules. Get started planning today! https://t.co/DS0tFIpWxW https://t.co/4NDanG04BL",FALSE,31,NA,2017-02-12 00:00:07,FALSE,NA,"830567122153508864",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",13,FALSE,FALSE,NA,NA
"@sweetjulz33 Hej Julie! Thanks for visiting. <U+0001F60A> We hope to see you again soon!",FALSE,2,"sweetjulz33",2017-02-11 21:56:20,FALSE,"830521485982826497","830535971674402817","158955453","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",1,FALSE,FALSE,NA,NA
