"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Our employees take many paths to Microsoft and often meet empowering mentors along the way: https://t.co/YSyU8J4tOa",FALSE,141,NA,2019-02-21 23:52:30,FALSE,NA,"1098732225175011328",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",33,FALSE,FALSE,NA,NA
"RT @johnpaulfarmer: The most important thing that has happened at Microsoft is culture change. Our culture of inclusion and experimentation…",FALSE,0,NA,2019-02-21 22:12:34,FALSE,NA,"1098707075645898752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",49,TRUE,FALSE,NA,NA
".@Daimler is accelerating innovation and shaping the future of mobility with their new #bigdata platform eXtollo. L… https://t.co/fRJcuiKE7k",FALSE,121,NA,2019-02-21 22:05:37,TRUE,NA,"1098705326935662592",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",29,FALSE,FALSE,NA,NA
"RT @MSFTImagine: <U+0001F64C> Congrats team Caeli from India, 2019 #ImagineCup Asia Regional Final winners for their portable anti-pollution  and drug…",FALSE,0,NA,2019-02-21 19:31:07,FALSE,NA,"1098666446119268352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",92,TRUE,FALSE,NA,NA
"For @TeamHendrick, split-second decisions can win a race. <U+0001F3C1> That’s why they use Microsoft Teams to keep their crew… https://t.co/LSIXywZIwc",FALSE,155,NA,2019-02-21 19:21:50,TRUE,NA,"1098664107648069632",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Microsoft",31,FALSE,FALSE,NA,NA
"RT @experiencesbiz: .@judsonalthoff starts with a quote from Satya Nadella
""Ultimately, though, we've got to measure ourselves not by techn…",FALSE,0,NA,2019-02-21 18:06:22,FALSE,NA,"1098645116791619584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",16,TRUE,FALSE,NA,NA
"RT @purassan: ""Every company has unique potential"" : today we talk about creating value, tech intensity and transformation opportunity for…",FALSE,0,NA,2019-02-21 18:04:27,FALSE,NA,"1098644634606026752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",19,TRUE,FALSE,NA,NA
"<U+0001F3C0> @SeattleStorm workshops
<U+0001F3CF> IoT-enabled cricket bats
<U+0001F4CA> Data-driven athletics

This week on #MicrosoftUnboxed<U+0001F4E6>, Soni… https://t.co/1Q5531xo4D",FALSE,88,NA,2019-02-21 17:00:01,TRUE,NA,"1098628418541887488",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",22,FALSE,FALSE,NA,NA
"What do basketball and #IoT research have in common? Find out on tomorrow's episode of #MicrosoftUnboxed <U+0001F4E6> 

Subscr… https://t.co/kSdKGnkcbK",FALSE,129,NA,2019-02-21 01:44:57,TRUE,NA,"1098398137264140288",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",41,FALSE,FALSE,NA,NA
"RT @MicrosoftJobs: As a female black engineer raised in a small town, Natalie knew the importance of role models and was determined to show…",FALSE,0,NA,2019-02-20 23:58:08,FALSE,NA,"1098371253985959937",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",21,TRUE,FALSE,NA,NA
